id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento
1;Plan 54 escuelas;"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI";Finalizada;Escuelas;Ministerio de Educación;Primaria;67065700;12;Villa Urquiza;RIVERA, PEDRO I., DR. 4221;-34,56715312;-58,47923657;1/12/2013;31/5/2016;29;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/1-2.jpg;;;Criba S.A.;2013;Licitación Pública;2030-MDUGC-2013;30505454436;;;;SI;;https://www.buenosaires.gob.ar/baobras/54-escuelas;https://buenosaires.gob.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/148;914412-MDUGC-2013;;
2;Donado Holmberg;Calle Holmberg: Nivelación en cruce;Finalizada;Espacio Público;Secretarí?a de Transporte y Obras Públicas;En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí?sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomás le Bretón, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.;9950017;12;Villa Urquiza;HOLMBERG Y OLAZABAL AV.;-34,57053344;-58,47561404;16/3/2015;15/7/2016;16;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/nivelacioncrucesholmberg/nivelacion_holmberg.jpg;;;;Altote S.A;2014;Licitación Pública;957/2014;30707431896;;16;;;;https://www.buenosaires.gob.ar/baobras/Donado-Holmberg;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/165;5515928/2014;;
3;Área Ambiental Central;Área Ambiental Central: Calles Alsina Y Moreno;Finalizada;Espacio Público;Secretarí?a de Transporte y Obras Públicas;Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.;36942632;1;Montserrat;ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE;-34,6107259;-58,38060019;12/1/2016;15/11/2017;22;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/3-1.jpg;;;;Rol Ingenieria S.A;2016;Licitación Pública;640-SIGAF/16;30578447659;;55;SI;;;https://www.buenosaires.gob.ar/baobras/area-ambiental-central;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev,php/licitation/index/id/227;;;
4;Área Ambiental Central;Área Ambiental Central: Calle Esmeralda I;Finalizada;Espacio Público;Secretarí?a de Transporte y Obras Públicas;La obra incluyó el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. Además, se intalarón nuevas luminarias y se plantarón árboles.;26938294;1;San Nicolás;ESMERALDA Y CORRIENTES AV.;-34,60348697;-58,37807809;27/10/2014;28/2/2017;28;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal1.jpg;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal2.jpg;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal3.jpg;;Dal Construcciones S.A;2014;Licitación Pública;305/2014;30604370171;;59;SI;;;https://www.buenosaires.gob.ar/baobras/area-ambiental-central;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/161;;;
5;Villa Olí?mpica;Villa Olí?mpica: Viviendas II;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.;148823367;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-2.jpg;;;EMACO SA - CONSTRUCTORA LANUSSE SA -UTE;2015;Licitación Pública;115/2015;30714969362;;;SI;SI;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/185;16.821.753-0GPUYAJ2014;;
6;Villa Olí?mpica;Villa Olí?mpica: Viviendas III;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;El tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.;179192366;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;25/2/2016;15/10/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-2.jpg;;;Bricons S.A.I.C.F.I.;2015;Licitación Pública;329-329-MDUGC-2015;30541068151;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/188;1026045-1026045-DGPUYA-2015;;
7;Villa Olí?mpica;Villa Olí?mpica: Viviendas IV;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.;163279322;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-2.jpg;;;Dycasa S.A.;2015;Licitación Pública;395/2015;33516294189;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/189;2.163.614-MGEYA-DGPUYA-2015;;
8;Villa Olí?mpica;Villa Olí?mpica: Viviendas IX;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;137837183;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;28/3/2016;15/2/2018;23;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/9-1.jpg;;;;Criba S.A.;2015;Licitación Pública;580/2015;30505454436;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/196;12.809.363-MGEYA-DGPUYA-2015;;
9;Villa Olí?mpica;Villa Olí?mpica: Viviendas V;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.;166503404;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/3/2016;30/9/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-2.jpg;;;Dycasa S.A.;2015;Licitación Pública;396/2015;33516294189;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/190;2.254.226-MGEYA-DGPUYA-2015;;
10;Villa Olí?mpica;Villa Olí?mpica: Viviendas VI;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.;160833300;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/11-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/11-2.jpg;;;Criba S.A.;2015;Licitación Pública;450/2015;30505454436;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/191;EX-2015-03683859- -MGEYA-DGPUYA;;
11;Villa Olí?mpica;Villa Olí?mpica: Viviendas VII;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;123691183;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;25/2/2016;31/10/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/12-1.jpg;;;;Cunumi S.A;2015;Licitación Pública;449/2015;30615748036;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/192;7.482.410-MGEYA-DGPUYA-2015;;
12;Villa Olí?mpica;Villa Olí?mpica: Viviendas VIII;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 8 contempló la construcción de 4 edificios que fueron destinados a los Juegos Olí?mpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.;174609630;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/2/2016;15/11/2017;21;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/13-1.jpg;;;;Constructora Sudamericana S.A.;2015;Licitación Pública;528/2015;30610895456;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/195;7.483.365-MGEYA-DGPUYA-2015;;
13;Villa Olí?mpica;Villa Olí?mpica: Viviendas X;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 10 completó el grupo de licitaciones de viviendas para los Juegos Olí?mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Además, se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.;98174265;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;28/4/2016;31/12/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/14-1.jpg;;;;Vidogar Construcciones S.A;2015;Licitación Pública;573/2015;30553433564;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/197;12.808.238-MGEYA-DGPUYA-2015;;
14;Villa Olí?mpica;Villa Olí?mpica: Viviendas I;Finalizada;Vivienda;Secretarí?a de Transporte y Obras Públicas;La licitación Nº 1 contempló la construcción de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.;154853715;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;1/6/2015;20/12/2017;30;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/16-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/16-2.jpg;;;Cavcon S.A.;2015;Licitación Pública;1876/2014;33707292259;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/182;15282589-DGPUYA/2D14;;
15;Villa Olí?mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí?mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión Y Colocación De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Olí?mpica;58565032;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;7/8/2018;4/5/2019;9;100;;;;;CALELLO HERMANOS SA;2018;Licitación Pública;04-CBAS-2018;30500716858;vecinos;;;;;;;;;
16;Parque Olí?mpico;Parque Olí?mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral;Finalizada;Espacio Público;Secretarí?a de Transporte y Obras Públicas;Se procedió a la contrucción de un cerco olí?mpico perimetral que ayudó a delimitar el área de intervención, resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Además, incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes, la extracción y trasplante de los árboles y arbustos dentro del mismo predio.;48590604;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;28/12/2016;30/3/2017;3;100;https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto1.jpg;https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto2.jpg;https://www.youtube.com/watch?v=1THOam0NOqc;;Salvatori S.A Parques Y Jardines;2016;Licitación Pública;880-SIGAF/16;30512700124;;;;SI;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/235;20515970-DGIURB-2016;;
17;Parque Olí?mpico;Parque Olí?mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.;Finalizada;Hidráulica e Infraestructura;Secretarí?a de Transporte y Obras Públicas;Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagí?es cloacales, desagí?es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olí?mpico.;42340809;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;30/1/2017;16/4/2018;15;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/iconos_infraestructura.jpg;https://cdn2.buenosaires.gob.ar/baobras/mduyt2/villa_Olí?mpica%20%287%29.png;;;Tecma S.A.;2016;Licitación Pública;1032-SIGAF/16;30623866528;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/243;20.669.375-DGIURB-2016;;
18;Parque Olí?mpico;Parque Olí?mpico: Pabellones A1 Y A2.;Finalizada;Arquitectura;Secretarí?a de Transporte y Obras Públicas;Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.;194988604;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;15/2/2017;31/12/2017;10;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/19-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/19-2.jpg;;;Constructora Sudamericana S.A.;2016;Licitación Pública;1192-SIGAF/16;30610895456;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/252;2016-24004377-MGEYA-DGIURB;;
